Timestamp,Date,Ethereum,Arbitrum,Optimism,zkSync Era,Kava,Kava,BSC,Avalanche,Polygon,Fantom,Osmosis,Solana,Axelar,Gnosis,Taiko,Stride,Injective,Rootstock,Polygon zkEVM,Mode,Moonbeam,Cronos,Kujira,Celo,Metis,Secret,Merlin,Terra Classic,Aurora,Arbitrum Nova,X Layer,Bitlayer,Evmos,Juno,BSquared,Canto,Astar,ShimmerEVM,Sifchain,Boba,KCC,Moonriver,Zkfair,XDC,Klaytn,Bitcoin,Telos,Wanchain,ThunderCore,Fuse
1688817600,2023-07-08,4524894,-5732711,-838909,-14650002,0,0,-2303702,3274038,6677308,216361,0,0,0,-10464,0,0,0,0,-662966,0,0,0,0,0,0,0,0,0,6454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1688904000,2023-07-09,-15242410,-15051491,237106,21003525,0,0,1059891,982172,3282429,99859,0,0,0,-266881,0,0,0,0,-393570,0,0,0,0,0,0,0,0,0,52382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1688990400,2023-07-10,-20828353,-2478251,-2432818,14692799,0,0,0,5482781,1327622,65818,0,0,0,77838,0,0,0,0,-81985,0,0,0,0,0,0,0,0,0,288129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32597,,0,,,
1689076800,2023-07-11,-10598170,-26596473,-2122355,25145451,0,0,-807309,5929233,10563454,-35849,0,0,0,-1892164,0,0,0,0,-644606,0,0,0,0,0,0,0,0,0,100473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1689163200,2023-07-12,-243796,-1269276,-1176382,9672757,0,0,1766635,7728305,-17753192,-3784,0,0,0,279614,0,0,0,0,-637912,0,0,0,0,0,0,0,0,0,252942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1689249600,2023-07-13,9119300,-26023337,-1623160,18036198,0,0,-4742902,-18723103,11027519,-12426,0,0,0,-211417,0,0,0,0,-1521335,0,0,0,0,0,0,0,0,0,520274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1689336000,2023-07-14,-50636211,13150125,-3605943,21598612,0,0,143099,19425522,16361300,-37626,0,0,0,108406,0,0,0,0,-343754,0,0,0,0,0,0,0,0,0,921282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1689422400,2023-07-15,10181129,-10711132,-6481194,8586904,0,0,404561,-356709,-3535170,-2322,0,0,0,25174,0,0,0,0,-225825,0,0,0,0,0,0,0,0,0,184827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1689508800,2023-07-16,49405786,-26673931,-9715383,-17242616,0,0,68977,9565412,3021450,0,0,0,0,-50265,0,0,0,0,-419147,0,0,0,0,0,0,0,0,0,167578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697,,0,,,
1689595200,2023-07-17,-49818127,36243350,2064909,21638171,0,0,-341757,13720369,7345963,17509,0,0,0,406220,0,0,0,0,-244790,0,0,0,0,0,0,0,0,0,90726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1689681600,2023-07-18,-12678477,16988920,-4167851,3134337,0,0,3757970,2915185,2231807,0,0,0,0,593236,0,0,0,0,144819,0,0,0,0,0,0,0,0,0,1121149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85306,,0,,,
1689768000,2023-07-19,-1535414,4516275,-4270823,-9127868,0,0,321379,39349,8966003,-20889,0,0,0,68317,0,0,0,0,153271,0,0,0,0,0,0,0,0,0,282559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1689854400,2023-07-20,-22607951,3850531,-1867452,28907704,0,0,-2788722,-27321877,10192269,-28548,0,0,0,-88139,0,0,0,0,-823162,0,0,0,0,0,0,0,0,0,403529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1689940800,2023-07-21,6147500,-9868154,-5002836,10001847,0,0,-441317,6956000,860779,-13820,0,0,0,-280169,0,0,0,0,-359630,0,0,0,0,0,0,0,0,0,107297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1690027200,2023-07-22,6121167,-10200571,-1053465,20300019,0,0,140512,14146862,-4835154,-29295,0,0,0,77412,0,0,0,0,-70049,0,0,0,0,0,0,0,0,0,-51581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1690113600,2023-07-23,-32835864,-6214900,7856799,18942084,0,0,1196437,-78766,11267324,-17522,0,0,0,76028,0,0,0,0,-508474,0,0,0,0,0,0,0,0,0,88690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1690200000,2023-07-24,2634049,-10372155,-22067209,21721905,0,0,3769276,-4937778,11328462,24770,0,0,0,138508,0,0,0,0,402736,0,0,0,0,0,0,0,0,0,259288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1690286400,2023-07-25,-75252326,60656115,-3973906,8616149,0,0,-521271,-12095144,9263521,9132,0,0,0,-1479909,0,0,0,0,-260098,0,0,0,0,0,0,0,0,0,53626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1690372800,2023-07-26,-21556164,10102173,-5228378,-1826460,0,0,444160,14878914,19286435,28168,0,0,0,-336146,0,0,0,0,-360033,0,0,0,0,0,0,0,0,0,77803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
